instance,best_cost,n_customers,n_routes,time_s,out_json,out_png,total_load,avg_load,max_load,avg_route_dist,route_loads,route_dists
R209,1283.6460900613426,100,8,0.2544517517089844,results/aco_repeats\baseline\repeat_1\R209_acs_result.json,results/aco_repeats\baseline\repeat_1\R209_acs_routes.png,1458,182.25,200,160.456,200;200;200;188;199;198;144;129,253.72;141.99;123.51;133.90;114.75;214.38;128.12;173.27
R210,1424.3431570192683,100,9,0.25569581985473633,results/aco_repeats\baseline\repeat_1\R210_acs_result.json,results/aco_repeats\baseline\repeat_1\R210_acs_routes.png,1458,162.0,200,158.26,159;194;199;196;131;200;198;135;46,133.49;228.66;93.79;124.40;132.18;159.34;252.93;142.50;157.06
R211,1158.4453107748259,100,8,0.2907834053039551,results/aco_repeats\baseline\repeat_1\R211_acs_result.json,results/aco_repeats\baseline\repeat_1\R211_acs_routes.png,1458,182.25,200,144.806,200;199;199;200;200;193;198;69,110.99;159.54;130.84;134.52;236.84;104.53;190.36;90.82
RC101,2447.6261313916825,100,26,0.18266963958740234,results/aco_repeats\baseline\repeat_1\RC101_acs_result.json,results/aco_repeats\baseline\repeat_1\RC101_acs_routes.png,1724,66.308,153,94.139,63;57;153;89;33;47;59;63;27;30;90;99;58;79;98;55;46;100;45;80;80;57;110;16;50;40,97.11;68.02;104.82;96.68;56.07;43.37;89.85;43.02;107.42;76.42;123.28;109.25;87.04;104.50;112.16;113.19;124.35;96.48;102.29;76.31;87.62;71.43;120.90;114.02;136.00;86.02
RC102,2462.2839953667158,100,25,0.18690109252929688,results/aco_repeats\baseline\repeat_1\RC102_acs_result.json,results/aco_repeats\baseline\repeat_1\RC102_acs_routes.png,1724,68.96,181,98.491,112;50;181;98;45;83;19;89;107;67;84;79;45;20;60;107;90;93;40;50;20;125;30;10;20,64.73;67.46;97.84;99.18;61.00;116.84;40.45;92.12;131.44;79.73;114.74;129.94;142.53;76.16;97.55;125.22;90.83;94.92;122.46;85.92;106.75;117.72;116.08;76.66;114.02
RC103,2048.3777668693438,100,22,0.19118309020996094,results/aco_repeats\baseline\repeat_1\RC103_acs_result.json,results/aco_repeats\baseline\repeat_1\RC103_acs_routes.png,1724,78.364,138,93.108,42;114;32;138;96;60;84;60;70;101;138;127;40;120;110;116;126;27;50;50;20;3,45.33;111.35;30.24;107.38;107.97;64.93;72.83;76.44;94.39;104.46;133.67;100.92;76.77;92.13;129.61;163.55;128.29;67.08;85.66;87.73;109.31;58.31
RC104,1760.0735788898203,100,17,0.2046513557434082,results/aco_repeats\baseline\repeat_1\RC104_acs_result.json,results/aco_repeats\baseline\repeat_1\RC104_acs_routes.png,1724,101.412,193,103.534,127;153;122;152;106;82;193;145;178;103;39;50;140;91;7;33;3,79.37;98.57;115.69;97.00;91.28;159.06;103.39;112.01;105.60;120.40;108.80;77.44;99.71;141.38;99.96;92.11;58.31
RC105,2427.8666602201924,100,26,0.18765926361083984,results/aco_repeats\baseline\repeat_1\RC105_acs_result.json,results/aco_repeats\baseline\repeat_1\RC105_acs_routes.png,1724,66.308,120,93.379,69;66;45;92;83;65;83;83;34;100;60;40;35;120;67;45;120;70;80;32;60;70;56;42;57;50,61.20;48.67;54.58;89.47;93.31;79.60;97.60;119.05;85.19;118.11;94.34;76.77;130.54;96.49;123.43;106.42;90.87;101.36;83.96;75.44;85.03;124.48;91.46;105.93;71.43;123.11
RC106,2053.5808272916706,100,21,0.20064830780029297,results/aco_repeats\baseline\repeat_1\RC106_acs_result.json,results/aco_repeats\baseline\repeat_1\RC106_acs_routes.png,1724,82.095,150,97.79,29;77;115;90;130;109;70;104;98;140;121;75;150;110;55;100;42;29;40;20;20,49.72;65.95;126.53;49.12;105.42;97.57;87.09;120.02;126.47;92.10;109.94;105.35;94.49;96.48;95.00;121.43;121.03;125.46;111.21;74.60;78.59
RC107,1831.3556572843518,100,17,0.18510127067565918,results/aco_repeats\baseline\repeat_1\RC107_acs_result.json,results/aco_repeats\baseline\repeat_1\RC107_acs_routes.png,1724,101.412,192,107.727,89;104;192;114;67;94;159;93;150;52;87;138;120;75;86;54;50,96.15;59.35;103.71;83.05;60.80;141.01;94.72;119.49;96.64;126.20;116.59;141.54;92.49;150.33;148.90;86.72;113.67
RC108,1516.5200396437374,100,14,0.19885993003845215,results/aco_repeats\baseline\repeat_1\RC108_acs_result.json,results/aco_repeats\baseline\repeat_1\RC108_acs_routes.png,1724,123.143,190,108.323,139;74;190;169;130;86;136;160;174;115;122;69;120;40,81.62;82.77;107.82;96.24;105.24;68.46;121.15;99.90;137.09;154.78;118.45;139.83;121.69;81.48
RC201,2036.5116660449135,100,13,0.19200587272644043,results/aco_repeats\baseline\repeat_1\RC201_acs_result.json,results/aco_repeats\baseline\repeat_1\RC201_acs_routes.png,1724,132.615,200,156.655,111;127;188;101;174;200;145;175;99;129;138;98;39,89.00;157.90;122.53;133.22;189.68;199.48;184.07;174.60;108.42;186.75;170.24;213.58;107.03
RC202,1944.902904666391,100,12,0.2048811912536621,results/aco_repeats\baseline\repeat_1\RC202_acs_result.json,results/aco_repeats\baseline\repeat_1\RC202_acs_routes.png,1724,143.667,198,162.075,147;197;173;198;175;126;90;160;120;135;116;87,93.62;203.80;146.87;225.63;205.02;121.60;105.34;167.74;173.65;126.89;179.21;195.53
RC203,1701.044477576077,100,12,0.2842097282409668,results/aco_repeats\baseline\repeat_1\RC203_acs_result.json,results/aco_repeats\baseline\repeat_1\RC203_acs_routes.png,1724,143.667,200,141.754,200;171;85;198;190;200;194;185;78;82;78;63,110.49;108.31;89.00;200.78;160.88;95.94;171.58;201.23;129.75;189.24;112.18;131.67
RC204,1378.2025565262502,100,9,0.24937939643859863,results/aco_repeats\baseline\repeat_1\RC204_acs_result.json,results/aco_repeats\baseline\repeat_1\RC204_acs_routes.png,1724,191.556,200,153.134,198;198;200;199;199;197;191;192;150,149.60;111.43;140.68;166.74;101.86;171.80;175.84;201.32;158.94
RC205,2113.309077130056,100,13,0.21990728378295898,results/aco_repeats\baseline\repeat_1\RC205_acs_result.json,results/aco_repeats\baseline\repeat_1\RC205_acs_routes.png,1724,132.615,199,162.562,78;148;132;170;106;178;199;148;189;93;53;120;110,79.59;174.23;190.67;172.55;131.09;140.26;209.60;143.72;177.87;135.98;140.15;201.63;215.96
RC206,1704.2886703634417,100,10,0.2270824909210205,results/aco_repeats\baseline\repeat_1\RC206_acs_result.json,results/aco_repeats\baseline\repeat_1\RC206_acs_routes.png,1724,172.4,199,170.429,198;118;196;193;186;196;199;183;157;98,191.57;126.88;147.01;163.96;199.85;141.97;194.51;170.62;167.79;200.12
RC207,1615.1843564151984,100,10,0.2224583625793457,results/aco_repeats\baseline\repeat_1\RC207_acs_result.json,results/aco_repeats\baseline\repeat_1\RC207_acs_routes.png,1724,172.4,199,161.518,177;197;195;182;199;191;191;190;152;50,168.85;124.72;180.91;171.20;145.89;96.28;187.43;185.50;273.09;81.32
RC208,1312.8123869618469,100,9,0.2413175106048584,results/aco_repeats\baseline\repeat_1\RC208_acs_result.json,results/aco_repeats\baseline\repeat_1\RC208_acs_routes.png,1724,191.556,200,145.868,200;199;196;199;197;200;198;181;154,155.35;105.39;200.77;96.69;152.39;97.81;198.00;130.28;176.14
