instance,best_cost,n_customers,n_routes,time_s,out_json,out_png,total_load,avg_load,max_load,avg_route_dist,route_loads,route_dists
R208,1146.1724058162333,100,8,0.27527570724487305,results/aco_repeats\current\repeat_3\R208_acs_result.json,results/aco_repeats\current\repeat_3\R208_acs_routes.png,1458,182.25,200,143.272,200;200;199;199;200;199;199;62,79.08;110.45;177.94;122.50;99.15;198.24;247.53;111.28
R209,1329.5098858561807,100,8,0.3065025806427002,results/aco_repeats\current\repeat_3\R209_acs_result.json,results/aco_repeats\current\repeat_3\R209_acs_routes.png,1458,182.25,200,166.189,200;187;192;200;183;189;187;120,182.52;177.26;186.34;127.60;157.19;175.17;161.14;162.29
R210,1344.731593970286,100,10,0.2762181758880615,results/aco_repeats\current\repeat_3\R210_acs_result.json,results/aco_repeats\current\repeat_3\R210_acs_routes.png,1458,145.8,200,134.473,82;200;199;177;193;196;191;70;106;44,88.82;158.05;138.55;85.75;154.69;121.44;228.30;100.94;169.35;98.86
R211,1115.2707283032198,100,8,0.2886500358581543,results/aco_repeats\current\repeat_3\R211_acs_result.json,results/aco_repeats\current\repeat_3\R211_acs_routes.png,1458,182.25,200,139.409,200;199;199;195;198;196;193;78,167.38;181.85;115.48;142.98;104.97;174.34;142.06;86.23
RC101,2512.0990041137015,100,26,0.2063448429107666,results/aco_repeats\current\repeat_3\RC101_acs_result.json,results/aco_repeats\current\repeat_3\RC101_acs_routes.png,1724,66.308,120,96.619,19;84;48;37;93;61;66;106;81;62;78;98;120;110;60;75;50;65;60;60;90;56;60;35;40;10,21.86;73.31;64.04;34.14;97.45;51.72;108.16;97.49;98.17;124.22;123.53;121.92;80.32;129.09;118.70;105.35;76.66;102.87;132.43;101.23;121.37;118.76;90.61;115.25;92.04;111.43
RC102,2487.861030864699,100,26,0.20203518867492676,results/aco_repeats\current\repeat_3\RC102_acs_result.json,results/aco_repeats\current\repeat_3\RC102_acs_routes.png,1724,66.308,129,95.687,32;94;103;47;66;78;26;53;87;129;70;70;85;97;74;64;50;90;78;60;60;110;15;26;30;30,30.24;98.34;117.40;44.00;90.60;53.46;70.30;77.28;102.83;89.38;107.51;108.44;112.08;98.90;159.96;118.26;81.68;85.36;112.10;132.43;72.45;91.10;105.46;123.98;114.21;90.09
RC103,1945.8089941939684,100,19,0.20891237258911133,results/aco_repeats\current\repeat_3\RC103_acs_result.json,results/aco_repeats\current\repeat_3\RC103_acs_routes.png,1724,90.737,190,102.411,100;118;56;82;38;93;94;106;64;190;151;60;160;110;38;160;23;61;20,76.27;88.32;51.55;68.69;81.44;120.55;102.23;96.36;96.80;135.46;153.39;120.63;100.62;94.66;136.11;124.63;116.16;111.07;70.88
RC104,1609.352300820282,100,15,0.21857571601867676,results/aco_repeats\current\repeat_3\RC104_acs_result.json,results/aco_repeats\current\repeat_3\RC104_acs_routes.png,1724,114.933,200,107.29,159;188;53;111;161;149;200;51;190;150;56;150;30;45;31,111.91;101.26;50.61;98.20;107.63;121.82;95.94;134.81;95.88;129.86;133.06;99.94;76.94;165.60;85.88
RC105,2512.7811672325556,100,27,0.22931146621704102,results/aco_repeats\current\repeat_3\RC105_acs_result.json,results/aco_repeats\current\repeat_3\RC105_acs_routes.png,1724,63.852,140,93.066,32;63;47;80;44;33;114;89;71;88;125;103;46;140;84;49;70;75;70;70;20;50;20;60;31;30;20,30.24;98.50;44.00;69.21;85.46;56.07;112.15;125.75;96.67;107.72;154.78;120.40;74.78;93.23;133.42;126.06;72.25;109.11;87.83;100.07;70.88;86.14;82.17;90.61;85.88;90.09;109.31
RC106,1948.0872114229132,100,19,0.19848155975341797,results/aco_repeats\current\repeat_3\RC106_acs_result.json,results/aco_repeats\current\repeat_3\RC106_acs_routes.png,1724,90.737,142,102.531,35;123;93;102;89;113;118;109;142;37;88;100;95;107;88;70;65;100;50,56.34;67.65;70.78;105.11;94.95;111.08;131.23;107.08;134.24;88.45;150.26;91.51;106.82;94.54;127.15;89.11;111.00;96.48;114.30
